Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation
3,0.0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,38,200.0,6166.0,6166.0,810.340000000001,2004.0710416325721
4,0.0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,33,50.0,6193.0,6193.0,783.340000000001,1958.894389899813
5,0.0,-1.0,-1.0,6976.340000000001,5,50.0,200.0,90,100.0,6185.0,6185.0,791.340000000001,1963.5503841961715
6,0.0,-1.0,-1.0,6976.340000000001,6,50.0,200.0,31,200.0,6225.0,6225.0,751.340000000001,1856.8681134979947
7,0.0,-1.0,-1.0,6976.340000000001,7,50.0,200.0,108,50.0,6220.0,6220.0,756.340000000001,1827.735585695991
8,0.0,-1.0,-1.0,6976.340000000001,8,50.0,200.0,113,50.0,6220.0,6220.0,756.340000000001,1843.5258175198323
9,0.0,-1.0,-1.0,6976.340000000001,9,50.0,200.0,107,50.0,6300.0,6300.0,676.340000000001,1759.7343263933599
10,0.0,-1.0,-1.0,6976.340000000001,10,50.0,200.0,116,100.0,6295.0,6295.0,681.340000000001,1760.541058992599
11,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,138,50.0,6294.0,6294.0,682.340000000001,1760.503653300529
2,50.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6135.0,6135.0,841.340000000001,2079.3898193217647
2,50.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,6137.0,6137.0,839.340000000001,2063.4554165681284
3,0.0,-1.0,-1.0,6976.340000000001,3,50.0,50.0,138,50.0,6137.0,6137.0,839.340000000001,2063.8116829532746
4,0.0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,38,200.0,6165.0,6165.0,811.340000000001,2004.0714902424402
5,0.0,-1.0,-1.0,6976.340000000001,5,50.0,200.0,109,50.0,6159.0,6159.0,817.340000000001,1962.4859310890222
6,0.0,-1.0,-1.0,6976.340000000001,6,50.0,200.0,33,50.0,6195.0,6195.0,781.340000000001,1937.964170438131
7,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,7,50.0,6190.0,6190.0,786.340000000001,1906.071262183217
2,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6137.0,6137.0,839.340000000001,2063.9027670785404
2,400.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,6159.0,6159.0,817.340000000001,1905.0410221440193
3,0.0,-1.0,-1.0,6976.340000000001,3,100.0,400.0,38,200.0,6155.0,6155.0,821.340000000001,1904.0574291579208
4,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,400.0,33,50.0,6140.0,6140.0,836.340000000001,1850.9429791852035
2,400.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6156.0,6156.0,820.340000000001,1955.8511599043436
2,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6217.0,6217.0,759.340000000001,2063.046378969469
2,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6160.0,6160.0,816.340000000001,2021.4078570694571
2,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6169.0,6169.0,807.340000000001,2053.6937836773795
2,100.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,6141.0,6141.0,835.340000000001,2069.4810649897686
3,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,100.0,60,50.0,6156.0,6156.0,820.340000000001,2093.1298740235293
2,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6134.0,6134.0,842.340000000001,2051.923107071761
2,200.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,6137.0,6137.0,839.340000000001,2063.877466356345
3,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,38,200.0,6165.0,6165.0,811.340000000001,2004.07353999233
2,400.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,6209.0,6209.0,767.340000000001,2066.984312329198
3,0.0,-1.0,-1.0,6976.340000000001,3,50.0,400.0,138,50.0,6208.0,6208.0,768.340000000001,2066.983002183642
4,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,400.0,90,100.0,6209.0,6209.0,767.340000000001,2067.283927620956
