Total Line Failures,Steady State,Accumulation of Failed Capacities
8,5,6135.0
9,6,6136.0
10,-1,6169.0
5,2,6099.0
6,3,6094.0
7,4,6103.0
8,5,6115.0
9,6,6114.0
10,7,6112.0
11,8,6113.0
12,9,6168.0
13,10,6194.0
14,11,6192.0
15,12,6192.0
16,13,6192.0
17,14,6149.0
18,15,6133.0
19,16,6133.0
20,17,6135.0
21,18,6149.0
22,19,6133.0
23,20,6100.0
24,21,6114.0
25,22,6126.0
26,23,6161.0
27,24,6165.0
28,25,6161.0
29,-1,6236.0
5,-1,6148.0
5,-1,6091.0
5,2,6146.0
6,3,6137.0
7,-1,6137.0
5,2,6189.0
6,3,6175.0
7,-1,6190.0
5,2,6157.0
6,3,6128.0
7,4,6111.0
8,5,6119.0
9,6,6122.0
10,7,6139.0
11,8,6135.0
12,9,6112.0
13,-1,6112.0
5,-1,6158.0
5,2,6132.0
6,3,6128.0
7,4,6146.0
8,5,6138.0
9,6,6118.0
10,-1,6118.0
5,-1,6109.0
5,-1,6116.0
5,2,6111.0
6,3,6111.0
7,-1,6121.0
5,2,6112.0
6,-1,6108.0
5,2,6128.0
6,3,6129.0
7,-1,6139.0
5,-1,6141.0
5,2,6047.0
6,3,6032.0
7,4,6036.0
8,5,6052.0
9,6,6023.0
10,7,6152.0
11,8,6172.0
12,9,6068.0
13,10,6068.0
14,11,6122.0
15,12,6159.0
16,13,6162.0
17,14,6140.0
18,15,6151.0
19,16,6153.0
20,17,6161.0
21,18,6162.0
22,19,6159.0
23,20,6153.0
24,21,6152.0
25,22,6113.0
26,23,6124.0
27,24,6219.0
28,25,6219.0
29,26,6160.0
30,27,6181.0
31,28,6204.0
32,29,6192.0
33,30,6204.0
34,31,6204.0
35,32,6204.0
36,33,6204.0
37,34,6204.0
38,35,6204.0
39,36,6197.0
40,37,6554.0
41,-1,6554.0
5,2,6055.0
6,3,6032.0
7,4,6032.0
8,5,6060.0
9,6,6024.0
10,7,6145.0
11,8,6145.0
12,9,6142.0
13,10,6142.0
14,-1,6195.0
5,2,6139.0
6,-1,6129.0
5,-1,6137.0
5,2,6139.0
6,3,6139.0
7,-1,6127.0
5,2,6117.0
6,3,6127.0
7,-1,6122.0
5,-1,6142.0
5,-1,6130.0
5,2,6161.0
6,-1,6145.0
5,-1,6110.0
5,-1,6096.0
5,2,6155.0
6,3,6156.0
7,4,6141.0
8,-1,6141.0
5,-1,6100.0
5,-1,6113.0
5,2,6109.0
6,3,6109.0
7,4,6110.0
8,-1,6110.0
5,2,6088.0
6,3,6088.0
7,-1,6086.0
5,2,6158.0
6,3,6167.0
7,4,6162.0
8,5,6174.0
9,-1,6174.0
5,-1,6108.0
5,-1,6151.0
5,2,6106.0
6,3,6125.0
7,4,6125.0
8,5,6126.0
9,-1,6139.0
5,2,6094.0
6,-1,6096.0
5,2,6114.0
6,-1,6117.0
5,2,6111.0
6,-1,6132.0
5,-1,6115.0
5,-1,6117.0
5,-1,6187.0
5,2,6117.0
6,-1,6119.0
5,2,6155.0
6,3,6155.0
7,-1,6155.0
5,2,6128.0
6,3,6127.0
7,4,6129.0
8,-1,6126.0
5,-1,6120.0
5,-1,6111.0
5,-1,6119.0
5,-1,6134.0
5,2,6041.0
6,3,6058.0
7,4,6102.0
8,5,6114.0
9,6,6107.0
10,7,6111.0
11,8,6042.0
12,9,6044.0
13,10,6029.0
14,11,6069.0
15,12,6204.0
16,13,6204.0
17,14,6204.0
18,15,6069.0
19,16,6069.0
20,17,6069.0
21,18,6131.0
22,19,6131.0
23,20,6115.0
24,21,6114.0
25,22,6129.0
26,23,6132.0
27,24,6187.0
28,25,6204.0
29,-1,6204.0
5,2,6123.0
6,3,6130.0
7,4,6129.0
8,5,6129.0
9,-1,6126.0
5,2,6104.0
6,-1,6097.0
5,2,6183.0
6,-1,6184.0
5,2,6125.0
6,-1,6138.0
5,2,6102.0
6,3,6095.0
7,4,6102.0
8,-1,6103.0
5,2,6079.0
6,3,6091.0
7,4,6093.0
8,5,6073.0
9,6,6102.0
10,7,6120.0
11,8,6081.0
12,9,6066.0
13,10,6063.0
14,11,6170.0
15,12,6170.0
16,13,6170.0
17,14,6170.0
18,15,6218.0
19,16,6145.0
20,17,6102.0
21,18,6102.0
22,19,6102.0
23,20,6141.0
24,21,6141.0
25,-1,6137.0
5,2,6178.0
6,3,6124.0
7,4,6123.0
8,5,6118.0
9,-1,6115.0
5,2,6073.0
6,3,6073.0
7,4,6056.0
8,5,6044.0
9,6,6043.0
10,7,6025.0
11,8,6037.0
12,9,6061.0
13,10,6061.0
14,11,6061.0
15,12,6077.0
16,13,6051.0
17,14,6065.0
18,15,6083.0
19,16,6166.0
20,17,6166.0
21,18,6166.0
22,19,6166.0
23,20,6204.0
24,21,6140.0
25,22,6202.0
26,-1,6155.0
5,-1,6092.0
5,-1,6118.0
5,2,6099.0
6,3,6101.0
7,-1,6115.0
5,2,6109.0
6,3,6095.0
7,-1,6095.0
5,2,6135.0
6,-1,6140.0
5,2,6122.0
6,-1,6122.0
5,2,6130.0
6,3,6134.0
7,-1,6128.0
5,2,6083.0
6,3,6085.0
7,4,6038.0
8,5,6038.0
9,6,6032.0
10,7,6036.0
11,8,6014.0
12,9,6019.0
13,10,6032.0
14,11,6142.0
15,12,6102.0
16,13,6081.0
17,14,6139.0
18,15,6139.0
19,16,6139.0
20,17,6154.0
21,18,6215.0
22,19,6164.0
23,20,6088.0
24,21,6107.0
25,22,6108.0
26,23,6110.0
27,24,6157.0
28,25,6215.0
29,-1,6196.0
5,2,6137.0
6,3,6140.0
7,4,6140.0
8,5,6140.0
9,-1,6140.0
5,2,6104.0
6,3,6091.0
7,4,6147.0
8,5,6157.0
9,6,6190.0
10,7,6202.0
11,8,6210.0
12,9,6219.0
13,10,6210.0
14,11,6120.0
15,12,6133.0
16,13,6130.0
17,14,6173.0
18,15,6184.0
19,16,6196.0
20,17,6210.0
21,18,6210.0
22,19,6210.0
23,20,6210.0
24,21,6210.0
25,22,6210.0
26,23,6210.0
27,-1,6219.0
5,2,6126.0
6,3,6126.0
7,4,6127.0
8,5,6121.0
9,6,6125.0
10,7,6134.0
11,-1,6138.0
5,2,6119.0
6,-1,6120.0
5,2,6141.0
6,3,6137.0
7,-1,6137.0
5,-1,6114.0
5,2,6104.0
6,-1,6128.0
5,2,6116.0
6,3,6120.0
7,4,6085.0
8,-1,6110.0
5,2,6158.0
6,3,6155.0
7,4,6142.0
8,-1,6142.0
5,2,6116.0
6,-1,6108.0
5,2,6153.0
6,3,6151.0
7,-1,6132.0
5,2,6096.0
6,3,6120.0
7,-1,6127.0
5,2,6116.0
6,-1,6123.0
5,2,6119.0
6,3,6087.0
7,-1,6106.0
5,2,6127.0
6,-1,6127.0
5,2,6153.0
6,-1,6154.0
5,2,6115.0
6,-1,6105.0
5,-1,6152.0
5,-1,6092.0
5,-1,6134.0
5,-1,6103.0
5,2,6126.0
6,3,6126.0
7,-1,6127.0
5,-1,6114.0
5,2,6144.0
6,3,6147.0
7,4,6147.0
8,5,6150.0
9,-1,6136.0
5,-1,6108.0
5,-1,6125.0
5,2,6097.0
6,-1,6098.0
5,-1,6124.0
5,2,6088.0
6,3,6089.0
7,4,6105.0
8,5,6125.0
