Total Line Failures,Steady State,Accumulation of Failed Capacities
5,4,6157.0
6,-1,6158.0
3,2,6147.0
4,-1,6145.0
3,2,6157.0
4,3,6171.0
5,4,6170.0
6,5,6185.0
7,6,6178.0
8,-1,6177.0
3,2,6152.0
4,-1,6150.0
3,2,6160.0
4,3,6177.0
5,-1,6153.0
3,2,6158.0
4,3,6151.0
5,4,6152.0
6,-1,6149.0
3,-1,6169.0
3,2,6221.0
4,-1,6215.0
3,-1,6156.0
3,2,6194.0
4,-1,6191.0
3,2,6118.0
4,3,6083.0
5,-1,6079.0
3,2,6137.0
4,-1,6134.0
3,-1,6138.0
3,-1,6148.0
3,-1,6140.0
3,2,6153.0
4,3,6154.0
5,-1,6155.0
3,-1,6126.0
3,-1,6152.0
3,-1,6147.0
3,2,6136.0
4,3,6132.0
5,4,6132.0
6,5,6132.0
7,6,6174.0
8,7,6131.0
9,-1,6168.0
3,-1,6175.0
3,2,6144.0
4,3,6144.0
5,-1,6126.0
3,-1,6145.0
3,2,6160.0
4,-1,6222.0
3,2,6128.0
4,3,6096.0
5,4,6102.0
6,-1,6147.0
3,2,6155.0
4,3,6170.0
5,4,6147.0
6,5,6166.0
7,-1,6155.0
3,2,6137.0
4,-1,6149.0
3,2,6267.0
4,3,6266.0
5,4,6258.0
6,-1,6256.0
3,2,6185.0
4,-1,6176.0
3,-1,6127.0
3,-1,6144.0
3,2,6151.0
4,3,6149.0
5,4,6148.0
6,5,6140.0
7,6,6165.0
8,7,6138.0
9,8,6144.0
10,9,6144.0
11,-1,6176.0
3,2,6125.0
4,3,6130.0
5,4,6132.0
6,-1,6119.0
3,-1,6121.0
3,-1,6155.0
3,2,6150.0
4,3,6149.0
5,4,6139.0
6,5,6139.0
7,6,6139.0
8,-1,6179.0
3,2,6154.0
4,3,6140.0
5,4,6126.0
6,5,6125.0
7,6,6126.0
8,-1,6125.0
3,2,6181.0
4,3,6179.0
5,4,6213.0
6,-1,6178.0
3,2,6155.0
4,-1,6154.0
3,-1,6154.0
3,2,6211.0
4,3,6229.0
5,-1,6218.0
3,-1,6129.0
3,-1,6137.0
3,-1,6159.0
3,2,6147.0
4,-1,6147.0
3,-1,6185.0
3,2,6112.0
4,3,6141.0
5,-1,6141.0
3,2,6140.0
4,-1,6136.0
3,-1,6122.0
3,2,6158.0
4,3,6158.0
5,4,6155.0
6,5,6156.0
7,-1,6211.0
3,-1,6140.0
3,-1,6132.0
3,-1,6152.0
3,-1,6127.0
3,2,6102.0
4,3,6109.0
5,-1,6151.0
3,2,6185.0
4,3,6185.0
5,4,6135.0
6,5,6161.0
7,6,6165.0
8,-1,6165.0
3,-1,6148.0
3,2,6130.0
4,-1,6131.0
3,2,6138.0
4,-1,6134.0
3,2,6134.0
4,-1,6133.0
3,-1,6126.0
3,2,6155.0
4,3,6141.0
5,4,6144.0
6,5,6096.0
7,-1,6117.0
3,2,6162.0
4,3,6150.0
5,-1,6094.0
3,2,6150.0
4,3,6136.0
5,4,6142.0
6,5,6129.0
7,6,6140.0
8,7,6172.0
9,-1,6185.0
3,2,6152.0
4,3,6150.0
5,4,6149.0
6,5,6149.0
7,6,6190.0
8,7,6177.0
9,8,6174.0
10,9,6174.0
11,10,6177.0
12,11,6174.0
13,12,6165.0
14,13,6167.0
15,14,6139.0
16,15,6139.0
17,-1,6140.0
3,2,6155.0
4,-1,6155.0
3,-1,6154.0
3,2,6152.0
4,3,6158.0
5,-1,6154.0
3,-1,6156.0
3,2,6133.0
4,3,6167.0
5,4,6172.0
6,5,6173.0
7,6,6173.0
8,-1,6176.0
3,2,6178.0
4,3,6169.0
5,-1,6164.0
3,-1,6150.0
3,2,6139.0
4,-1,6156.0
3,2,6153.0
4,3,6153.0
5,-1,6171.0
3,2,6141.0
4,3,6144.0
5,4,6144.0
6,5,6144.0
7,6,6184.0
8,-1,6183.0
3,-1,6126.0
3,2,6182.0
4,-1,6186.0
3,2,6118.0
4,-1,6118.0
3,2,6151.0
4,-1,6145.0
3,2,6155.0
4,3,6141.0
5,4,6152.0
6,5,6119.0
7,6,6114.0
8,-1,6131.0
3,2,6153.0
4,-1,6149.0
3,2,6122.0
4,-1,6123.0
3,2,6151.0
4,-1,6158.0
3,-1,6148.0
3,2,6155.0
4,3,6161.0
5,4,6163.0
6,5,6173.0
7,-1,6198.0
3,-1,6157.0
3,2,6168.0
4,3,6169.0
5,-1,6216.0
3,2,6195.0
4,-1,6182.0
3,2,6191.0
4,3,6192.0
5,4,6198.0
6,5,6181.0
7,6,6174.0
8,-1,6193.0
3,2,6153.0
4,-1,6149.0
3,-1,6104.0
3,-1,6147.0
3,2,6156.0
4,-1,6169.0
3,2,6134.0
4,-1,6150.0
3,-1,6146.0
3,-1,6154.0
3,2,6134.0
4,-1,6138.0
3,-1,6089.0
3,2,6157.0
4,-1,6145.0
3,2,6151.0
4,3,6146.0
5,4,6196.0
6,-1,6245.0
3,2,6179.0
4,3,6183.0
5,4,6109.0
6,5,6110.0
7,6,6096.0
8,-1,6162.0
3,-1,6151.0
3,2,6158.0
4,3,6153.0
5,4,6106.0
6,5,6093.0
7,6,6093.0
8,-1,6141.0
3,2,6132.0
4,-1,6131.0
3,2,6137.0
4,3,6140.0
5,4,6183.0
6,-1,6184.0
3,2,6134.0
4,3,6134.0
5,-1,6153.0
3,2,6177.0
4,-1,6178.0
3,2,6150.0
4,3,6148.0
5,4,6140.0
6,5,6140.0
7,6,6140.0
8,-1,6187.0
3,-1,6157.0
3,2,6138.0
4,3,6140.0
5,-1,6140.0
3,2,6191.0
4,-1,6192.0
3,2,6137.0
4,-1,6132.0
3,2,6147.0
4,3,6145.0
5,4,6138.0
6,5,6085.0
7,-1,6124.0
3,2,6148.0
4,3,6148.0
5,-1,6145.0
3,2,6133.0
4,-1,6128.0
3,-1,6140.0
3,-1,6170.0
3,-1,6118.0
3,2,6163.0
4,-1,6164.0
3,2,6153.0
4,-1,6153.0
3,-1,6108.0
3,2,6102.0
4,3,6135.0
5,4,6154.0
6,5,6119.0
7,6,6129.0
8,7,6175.0
9,8,6171.0
10,-1,6171.0
3,2,6127.0
4,3,6127.0
5,4,6164.0
6,5,6170.0
7,6,6203.0
8,7,6200.0
9,8,6231.0
10,9,6223.0
11,10,6047.0
12,11,6046.0
13,12,6088.0
14,13,6237.0
15,14,6228.0
16,15,6237.0
17,16,6237.0
18,17,6237.0
19,18,6237.0
20,19,6237.0
21,20,6237.0
22,21,6237.0
23,22,6237.0
24,23,6237.0
25,24,6248.0
26,25,6182.0
27,26,6213.0
28,27,6249.0
29,28,6247.0
30,29,6177.0
31,30,6116.0
32,31,6115.0
33,32,6125.0
34,33,6184.0
35,-1,6240.0
3,-1,6160.0
3,-1,6198.0
3,-1,6148.0
3,2,6197.0
4,-1,6198.0
3,-1,6146.0
3,2,6199.0
4,3,6207.0
5,4,6237.0
6,-1,6237.0
3,-1,6125.0
3,2,6180.0
4,3,6179.0
5,-1,6181.0
3,-1,6133.0
3,-1,6205.0
3,-1,6139.0
3,2,6152.0
4,-1,6151.0
3,-1,6134.0
3,2,6170.0
4,3,6167.0
5,-1,6167.0
3,2,6129.0
4,-1,6137.0
3,-1,6170.0
3,-1,6128.0
3,-1,6153.0
3,-1,6156.0
3,2,6166.0
4,-1,6202.0
3,-1,6154.0
3,2,6123.0
4,3,6120.0
5,4,6120.0
6,5,6178.0
7,6,6164.0
8,7,6164.0
9,-1,6164.0
3,-1,6162.0
3,2,6133.0
4,3,6152.0
5,4,6157.0
6,5,6148.0
7,-1,6198.0
3,-1,6099.0
3,2,6146.0
4,3,6171.0
5,4,6174.0
6,5,6177.0
7,6,6152.0
8,-1,6168.0
3,2,6152.0
4,3,6151.0
5,-1,6144.0
3,2,6120.0
4,-1,6125.0
3,-1,6213.0
3,2,6118.0
4,3,6125.0
5,-1,6115.0
3,2,6155.0
4,3,6159.0
5,4,6160.0
6,5,6152.0
7,6,6174.0
8,-1,6177.0
3,2,6202.0
4,3,6217.0
5,-1,6253.0
3,2,6157.0
4,-1,6153.0
3,2,6184.0
4,-1,6176.0
3,2,6183.0
4,3,6176.0
5,4,6126.0
6,-1,6127.0
3,2,6169.0
4,3,6183.0
5,4,6180.0
6,5,6179.0
7,6,6180.0
8,7,6170.0
9,8,6200.0
10,-1,6304.0
3,-1,6125.0
3,-1,6169.0
3,-1,6153.0
3,-1,6152.0
3,2,6158.0
4,3,6158.0
5,4,6153.0
6,-1,6154.0
3,-1,6199.0
3,-1,6130.0
3,2,6153.0
4,3,6153.0
5,-1,6152.0
3,2,6160.0
4,-1,6161.0
3,-1,6151.0
3,2,6125.0
4,3,6129.0
5,4,6147.0
6,-1,6147.0
3,2,6112.0
4,3,6112.0
5,4,6123.0
6,-1,6164.0
3,-1,6170.0
3,2,6137.0
4,-1,6136.0
3,2,6109.0
4,3,6136.0
5,-1,6195.0
3,2,6107.0
4,3,6092.0
5,4,6093.0
6,5,6108.0
7,6,6093.0
8,7,6093.0
9,8,6134.0
10,9,6131.0
11,10,6055.0
12,11,6064.0
13,12,6063.0
14,13,6129.0
15,14,6129.0
16,15,6129.0
17,16,6130.0
18,17,6129.0
19,18,6130.0
20,19,6129.0
21,20,6139.0
22,21,6186.0
23,22,6189.0
24,23,6187.0
